# -log(1-Mr/M*)    X_O        X_C        X_He       X_H         B          N^2
     0.263887   0.655610   0.344390   0.000000   0.000000   0.000000   0.16560E-01
     0.270312   0.650010   0.349990   0.000000   0.000000   0.000000   0.16804E-01
     0.276834   0.644410   0.355590   0.000000   0.000000   0.000000   0.17049E-01
     0.283455   0.638810   0.361190   0.000000   0.000000   0.000000   0.17298E-01
     0.290179   0.633210   0.366790   0.000000   0.000000   0.000000   0.17548E-01
     0.297008   0.627610   0.372390   0.000000   0.000000   0.000000   0.17802E-01
     0.303947   0.622010   0.377990   0.000000   0.000000   0.000000   0.18059E-01
     0.310998   0.616410   0.383590   0.000000   0.000000   0.000000   0.18319E-01
     0.318166   0.610810   0.389190   0.000000   0.000000   0.000000   0.18582E-01
     0.325453   0.605210   0.394790   0.000000   0.000000   0.000000   0.18850E-01
     0.332866   0.599610   0.400390   0.000000   0.000000   0.000000   0.19121E-01
     0.340407   0.594010   0.405990   0.000000   0.000000   0.000000   0.19398E-01
     0.348081   0.588410   0.411590   0.000000   0.000000   0.000000   0.19679E-01
     0.355893   0.582810   0.417190   0.000000   0.000000   0.000000   0.19965E-01
     0.363849   0.577210   0.422790   0.000000   0.000000   0.000000   0.20256E-01
     0.371953   0.571610   0.428390   0.000000   0.000000   0.000000   0.20553E-01
     0.380211   0.566010   0.433990   0.000000   0.000000   0.000000   0.20857E-01
     0.388629   0.560410   0.439590   0.000000   0.000000   0.000000   0.21167E-01
     0.397214   0.554810   0.445190   0.000000   0.000000   0.000000   0.21484E-01
     0.405971   0.549210   0.450790   0.000000   0.000000   0.000000   0.21809E-01
     0.414909   0.543610   0.456390   0.000000   0.000000   0.000000   0.22142E-01
     0.424035   0.538010   0.461990   0.000000   0.000000   0.000000   0.22484E-01
     0.433357   0.532410   0.467590   0.000000   0.000000   0.000000   0.22835E-01
     0.442883   0.526810   0.473190   0.000000   0.000000   0.000000   0.23197E-01
     0.452623   0.521210   0.478790   0.000000   0.000000   0.000000   0.23569E-01
     0.462586   0.515608   0.484392   0.000000   0.000000   0.000000   0.23955E-01
     0.472784   0.510002   0.489998   0.000000   0.000000   0.000000   0.24361E-01
     0.483226   0.504368   0.495632   0.000000   0.000000   0.000000   0.24818E-01
     0.493926   0.498606   0.501394   0.000000   0.000000   0.000000   0.25445E-01
     0.504897   0.492328   0.507672   0.000000   0.000000   0.000000   0.26451E-01
     0.516151   0.484744   0.515256   0.000000   0.000000   0.000000   0.27742E-01
     0.527706   0.475763   0.524237   0.000000   0.000000   0.000000   0.28830E-01
     0.539576   0.466164   0.533836   0.000000   0.000000   0.000000   0.29549E-01
     0.551779   0.456407   0.543593   0.000000   0.000000   0.000000   0.30108E-01
     0.564336   0.446616   0.553384   0.000000   0.000000   0.000000   0.30644E-01
     0.577267   0.436817   0.563183   0.000000   0.000000   0.000000   0.31195E-01
     0.590594   0.427018   0.572982   0.000000   0.000000   0.000000   0.31770E-01
     0.604344   0.417218   0.582782   0.000000   0.000000   0.000000   0.32376E-01
     0.618543   0.407418   0.592582   0.000000   0.000000   0.000000   0.33014E-01
     0.633223   0.397618   0.602382   0.000000   0.000000   0.000000   0.33688E-01
     0.648416   0.387818   0.612182   0.000000   0.000000   0.000000   0.34400E-01
     0.664161   0.378018   0.621982   0.000000   0.000000   0.000000   0.35154E-01
     0.680498   0.368218   0.631782   0.000000   0.000000   0.000000   0.35956E-01
     0.697473   0.358418   0.641582   0.000000   0.000000   0.000000   0.36811E-01
     0.715140   0.348618   0.651382   0.000000   0.000000   0.000000   0.37727E-01
     0.733557   0.338818   0.661182   0.000000   0.000000   0.000000   0.38708E-01
     0.752789   0.329018   0.670982   0.000000   0.000000   0.000000   0.39764E-01
     0.772913   0.319218   0.680782   0.000000   0.000000   0.000000   0.40902E-01
     0.794016   0.309417   0.690583   0.000000   0.000000   0.000000   0.42136E-01
     0.816198   0.299617   0.700383   0.000000   0.000000   0.000000   0.43481E-01
     0.839575   0.289812   0.710188   0.000000   0.000000   0.000000   0.44955E-01
     0.864283   0.279988   0.720012   0.000000   0.000000   0.000000   0.46591E-01
     0.890484   0.270069   0.729931   0.000000   0.000000   0.000000   0.48478E-01
     0.918368   0.259705   0.740295   0.000000   0.000000   0.000000   0.50890E-01
     0.948170   0.247529   0.752471   0.000000   0.000000   0.000000   0.54294E-01
     0.980170   0.230787   0.769213   0.000000   0.000000   0.000000   0.58484E-01
     1.014722   0.209152   0.790848   0.000000   0.000000   0.000000   0.62504E-01
     1.052267   0.185357   0.814643   0.000000   0.000000   0.000000   0.66136E-01
     1.093376   0.161006   0.838994   0.000000   0.000000   0.000000   0.69935E-01
     1.138797   0.136538   0.863462   0.000000   0.000000   0.000000   0.74694E-01
     1.189548   0.112050   0.887626   0.000324   0.000000   0.000000   0.81437E-01
     1.247051   0.092061   0.907387   0.000552   0.000000  -0.000800   0.89539E-01
     1.286972   0.071745   0.927229   0.001026   0.000000   0.000000   0.98619E-01
     1.319842   0.059349   0.939075   0.001576   0.000000   0.003605   0.11497E+00
     1.362536   0.048184   0.949388   0.002428   0.000000   0.005430   0.13362E+00
     1.405561   0.038247   0.958004   0.003749   0.000000   0.008214   0.15218E+00
     1.448908   0.029554   0.964647   0.005799   0.000000   0.012489   0.17167E+00
     1.492567   0.022120   0.968901   0.008979   0.000000   0.019073   0.19359E+00
     1.536530   0.015922   0.970177   0.013902   0.000000   0.029219   0.22020E+00
     1.580786   0.010874   0.967642   0.021484   0.000000   0.044758   0.25445E+00
     1.625326   0.006831   0.960113   0.033055   0.000000   0.068371   0.29986E+00
     1.670144   0.003615   0.945939   0.050446   0.000000   0.103487   0.35958E+00
     1.715232   0.001049   0.923001   0.075951   0.000000   0.153879   0.43374E+00
     1.760585   0.000000   0.888003   0.111997   0.000000   0.222093   0.51751E+00
     1.806200   0.000000   0.839692   0.160308   0.000000   0.139380   0.59916E+00
     1.852073   0.000000   0.779420   0.220580   0.000000   0.183017   0.66025E+00
     1.898201   0.000000   0.710634   0.289366   0.000000   0.220613   0.68522E+00
     1.944578   0.000000   0.639623   0.360377   0.000000   0.240809   0.67057E+00
     1.991193   0.000000   0.573275   0.426725   0.000000   0.236935   0.62799E+00
     2.038027   0.000000   0.516261   0.483739   0.000000   0.211779   0.57631E+00
     2.085064   0.000000   0.469658   0.530342   0.000000   0.175780   0.53158E+00
     2.132289   0.000000   0.431441   0.568559   0.000000   0.140582   0.50354E+00
     2.179696   0.000000   0.397841   0.602159   0.000000   0.114372   0.51657E+00
     2.227281   0.000000   0.364578   0.635422   0.000000   0.101115   0.55232E+00
     2.275045   0.000000   0.327843   0.672157   0.000000   0.101862   0.60720E+00
     2.322992   0.000000   0.285321   0.714679   0.000000   0.115344   0.67221E+00
     2.371124   0.000000   0.237240   0.762760   0.000000   0.137209   0.73141E+00
     2.419441   0.000000   0.186763   0.813237   0.000000   0.159005   0.77042E+00
     2.467941   0.000000   0.138832   0.861168   0.000000   0.170018   0.78416E+00
     2.516613   0.000000   0.097861   0.902139   0.000000   0.163247   0.77581E+00
     2.565444   0.000000   0.065998   0.934002   0.000000   0.138906   0.76573E+00
     2.614419   0.000000   0.043034   0.956966   0.000000   0.104240   0.75237E+00
     2.663530   0.000000   0.027390   0.972610   0.000000   0.072121   0.75419E+00
     2.712770   0.000000   0.017145   0.982855   0.000000   0.046860   0.77133E+00
     2.762141   0.000000   0.010613   0.989387   0.000000   0.029099   0.79123E+00
     2.811639   0.000000   0.006519   0.993481   0.000000   0.017529   0.82261E+00
     2.861264   0.000000   0.003984   0.996016   0.000000   0.010416   0.86974E+00
     2.911015   0.000000   0.002426   0.997574   0.000000   0.006067   0.92202E+00
     2.960891   0.000000   0.001473   0.998527   0.000000   0.003491   0.97332E+00
     3.010887   0.000000   0.000893   0.999107   0.000000   0.001957   0.10247E+01
     3.061001   0.000000   0.000540   0.999460   0.000000   0.001091   0.10741E+01
     3.111226   0.000000   0.000326   0.999674   0.000000   0.000610   0.11214E+01
     3.161558   0.000000   0.000197   0.999803   0.000000   0.000346   0.11721E+01
     3.211994   0.000000   0.000119   0.999881   0.000000   0.000200   0.12259E+01
     3.262530   0.000000   0.000071   0.999929   0.000000   0.000119   0.12827E+01
     3.313163   0.000000   0.000043   0.999957   0.000000   0.000073   0.13435E+01
     3.363889   0.000000   0.000026   0.999974   0.000000   0.000045   0.14094E+01
     3.414706   0.000000   0.000016   0.999984   0.000000   0.000029   0.14811E+01
     3.465611   0.000000   0.000009   0.999991   0.000000   0.000018   0.15583E+01
     3.516601   0.000000   0.000006   0.999994   0.000000   0.000012   0.16406E+01
     3.567675   0.000000   0.000003   0.999997   0.000000   0.000007   0.17275E+01
     3.618829   0.000000   0.000002   0.999998   0.000000   0.000005   0.18187E+01
     3.670062   0.000000   0.000001   0.999999   0.000000   0.000003   0.19138E+01
     3.721370   0.000000   0.000001   0.999999   0.000000   0.000002   0.20127E+01
     3.772747   0.000000   0.000000   1.000000   0.000000   0.000001   0.21149E+01
     3.824189   0.000000   0.000000   1.000000   0.000000   0.000001   0.22212E+01
     3.875696   0.000000   0.000000   1.000000   0.000000   0.000000   0.23321E+01
     3.927264   0.000000   0.000000   1.000000   0.000000   0.000000   0.24487E+01
     3.978892   0.000000   0.000000   1.000000   0.000000   0.000000   0.25723E+01
     4.030577   0.000000   0.000000   1.000000   0.000000   0.000000   0.27029E+01
     4.082317   0.000000   0.000000   1.000000   0.000000   0.000000   0.28400E+01
     4.134110   0.000000   0.000000   1.000000   0.000000   0.000000   0.29833E+01
     4.185954   0.000000   0.000000   1.000000   0.000000   0.000000   0.31316E+01
     4.237848   0.000000   0.000000   1.000000   0.000000   0.000000   0.32838E+01
     4.289791   0.000000   0.000000   1.000000   0.000000   0.000000   0.34383E+01
     4.341797   0.000000   0.000000   1.000000   0.000000   0.000000   0.35971E+01
     4.393855   0.000000   0.000000   1.000000   0.000000   0.000000   0.37622E+01
     4.445956   0.000000   0.000000   1.000000   0.000000   0.000000   0.39331E+01
     4.498102   0.000000   0.000000   1.000000   0.000000   0.000000   0.41097E+01
     4.550291   0.000000   0.000000   1.000000   0.000000   0.000000   0.42887E+01
     4.602542   0.000000   0.000000   1.000000   0.000000   0.000000   0.44715E+01
     4.654840   0.000000   0.000000   1.000000   0.000000   0.000000   0.46592E+01
     4.707176   0.000000   0.000000   1.000000   0.000000   0.000000   0.48517E+01
     4.759549   0.000000   0.000000   1.000000   0.000000   0.000000   0.50491E+01
     4.811958   0.000000   0.000000   1.000000   0.000000   0.000000   0.52513E+01
     4.864402   0.000000   0.000000   1.000000   0.000000   0.000000   0.54591E+01
     4.916880   0.000000   0.000000   1.000000   0.000000   0.000000   0.56735E+01
     4.969390   0.000000   0.000000   1.000000   0.000000   0.000000   0.58944E+01
     5.021933   0.000000   0.000000   1.000000   0.000000   0.000000   0.61210E+01
     5.074506   0.000000   0.000000   1.000000   0.000000   0.000000   0.63540E+01
     5.127108   0.000000   0.000000   1.000000   0.000000   0.000000   0.65945E+01
     5.179739   0.000000   0.000000   1.000000   0.000000   0.000000   0.68436E+01
     5.232401   0.000000   0.000000   1.000000   0.000000   0.000000   0.71022E+01
     5.285095   0.000000   0.000000   1.000000   0.000000   0.000000   0.73662E+01
     5.337813   0.000000   0.000000   1.000000   0.000000   0.000000   0.76249E+01
     5.390535   0.000000   0.000000   1.000000   0.000000   0.000000   0.78730E+01
     5.443258   0.000000   0.000000   1.000000   0.000000   0.000000   0.81147E+01
     5.495992   0.000000   0.000000   1.000000   0.000000   0.000000   0.83686E+01
     5.548758   0.000000   0.000000   1.000000   0.000000   0.000000   0.86495E+01
     5.601568   0.000000   0.000000   1.000000   0.000000   0.000000   0.89566E+01
     5.654415   0.000000   0.000000   1.000000   0.000000   0.000000   0.92810E+01
     5.707287   0.000000   0.000000   1.000000   0.000000   0.000000   0.96124E+01
     5.760177   0.000000   0.000000   1.000000   0.000000   0.000000   0.99490E+01
     5.813084   0.000000   0.000000   1.000000   0.000000   0.000000   0.10291E+02
     5.866010   0.000000   0.000000   1.000000   0.000000   0.000000   0.10637E+02
     5.918956   0.000000   0.000000   1.000000   0.000000   0.000000   0.10989E+02
     5.971922   0.000000   0.000000   1.000000   0.000000   0.000000   0.11349E+02
     6.024905   0.000000   0.000000   1.000000   0.000000   0.000000   0.11718E+02
     6.077904   0.000000   0.000000   1.000000   0.000000   0.000000   0.12095E+02
     6.130916   0.000000   0.000000   1.000000   0.000000  -0.000000   0.12484E+02
     6.183944   0.000000   0.000000   1.000000   0.000000   0.000000   0.12885E+02
     6.236987   0.000000   0.000000   1.000000   0.000000   0.000000   0.13301E+02
     6.290045   0.000000   0.000000   1.000000   0.000000   0.000000   0.13733E+02
     6.343117   0.000000   0.000000   1.000000   0.000000   0.000000   0.14186E+02
     6.396204   0.000000   0.000000   1.000000   0.000000   0.000000   0.14662E+02
     6.449304   0.000000   0.000000   1.000000   0.000000   0.000000   0.15166E+02
     6.502418   0.000000   0.000000   1.000000   0.000000   0.000000   0.15697E+02
     6.555547   0.000000   0.000000   1.000000   0.000000   0.000000   0.16256E+02
     6.608690   0.000000   0.000000   1.000000   0.000000   0.000000   0.16844E+02
     6.661848   0.000000   0.000000   1.000000   0.000000   0.000000   0.17458E+02
     6.715020   0.000000   0.000000   1.000000   0.000000   0.000000   0.18092E+02
     6.768207   0.000000   0.000000   1.000000   0.000000   0.000000   0.18737E+02
     6.821408   0.000000   0.000000   1.000000   0.000000   0.000000   0.19384E+02
     6.874623   0.000000   0.000000   1.000000   0.000000   0.000000   0.20027E+02
     6.927850   0.000000   0.000000   1.000000   0.000000   0.000000   0.20665E+02
     6.981088   0.000000   0.000000   1.000000   0.000000   0.000000   0.21304E+02
     7.034338   0.000000   0.000000   1.000000   0.000000   0.000000   0.21949E+02
     7.087598   0.000000   0.000000   1.000000   0.000000   0.000000   0.22608E+02
     7.140868   0.000000   0.000000   1.000000   0.000000   0.000000   0.23281E+02
     7.194147   0.000000   0.000000   1.000000   0.000000   0.000000   0.23968E+02
     7.247436   0.000000   0.000000   1.000000   0.000000   0.000000   0.24667E+02
     7.300733   0.000000   0.000000   1.000000   0.000000   0.000000   0.25378E+02
     7.354039   0.000000   0.000000   1.000000   0.000000   0.000000   0.26102E+02
     7.407353   0.000000   0.000000   1.000000   0.000000   0.000000   0.26841E+02
     7.460674   0.000000   0.000000   1.000000   0.000000   0.000000   0.27599E+02
     7.514003   0.000000   0.000000   1.000000   0.000000   0.000000   0.28377E+02
     7.567340   0.000000   0.000000   1.000000   0.000000   0.000000   0.29179E+02
     7.620683   0.000000   0.000000   1.000000   0.000000   0.000000   0.30004E+02
     7.674034   0.000000   0.000000   1.000000   0.000000   0.000000   0.30852E+02
     7.727392   0.000000   0.000000   1.000000   0.000000   0.000000   0.31722E+02
     7.780757   0.000000   0.000000   1.000000   0.000000   0.000000   0.32613E+02
     7.834129   0.000000   0.000000   1.000000   0.000000   0.000000   0.33528E+02
     7.887507   0.000000   0.000000   1.000000   0.000000   0.000000   0.34465E+02
     7.940891   0.000000   0.000000   1.000000   0.000000   0.000000   0.35428E+02
     7.994281   0.000000   0.000000   1.000000   0.000000   0.000000   0.36420E+02
     8.047678   0.000000   0.000000   1.000000   0.000000   0.000000   0.37439E+02
     8.101080   0.000000   0.000000   1.000000   0.000000   0.000000   0.38481E+02
     8.154489   0.000000   0.000000   1.000000   0.000000   0.000000   0.39541E+02
     8.207903   0.000000   0.000000   1.000000   0.000000   0.000000   0.40616E+02
     8.261322   0.000000   0.000000   1.000000   0.000000   0.000000   0.41702E+02
     8.314747   0.000000   0.000000   1.000000   0.000000   0.000000   0.42803E+02
     8.368176   0.000000   0.000000   1.000000   0.000000   0.000000   0.43925E+02
     8.421610   0.000000   0.000000   1.000000   0.000000   0.000000   0.45075E+02
     8.475047   0.000000   0.000000   1.000000   0.000000   0.000000   0.46261E+02
     8.528489   0.000000   0.000000   1.000000   0.000000   0.000000   0.47484E+02
     8.581934   0.000000   0.000000   1.000000   0.000000   0.000000   0.48743E+02
     8.635384   0.000000   0.000000   1.000000   0.000000   0.000000   0.50037E+02
     8.688839   0.000000   0.000000   1.000000   0.000000   0.000000   0.51367E+02
     8.742297   0.000000   0.000000   1.000000   0.000000   0.000000   0.52736E+02
     8.795759   0.000000   0.000000   1.000000   0.000000   0.000000   0.54145E+02
     8.849224   0.000000   0.000000   1.000000   0.000000   0.000000   0.55597E+02
     8.902694   0.000000   0.000000   1.000000   0.000000   0.000000   0.57098E+02
     8.956167   0.000000   0.000000   1.000000   0.000000   0.000000   0.58654E+02
     9.009645   0.000000   0.000000   1.000000   0.000000   0.000000   0.60268E+02
     9.063126   0.000000   0.000000   1.000000   0.000000   0.000000   0.61938E+02
     9.116611   0.000000   0.000000   1.000000   0.000000   0.000000   0.63667E+02
     9.170101   0.000000   0.000000   1.000000   0.000000   0.000000   0.65450E+02
     9.223595   0.000000   0.000000   1.000000   0.000000   0.000000   0.67283E+02
     9.277094   0.000000   0.000000   1.000000   0.000000   0.000000   0.69164E+02
     9.330597   0.000000   0.000000   1.000000   0.000000   0.000000   0.71095E+02
     9.384103   0.000000   0.000000   1.000000   0.000000   0.000000   0.73084E+02
     9.437614   0.000000   0.000000   1.000000   0.000000   0.000000   0.75137E+02
     9.491129   0.000000   0.000000   1.000000   0.000000   0.000000   0.77259E+02
     9.544648   0.000000   0.000000   1.000000   0.000000   0.000000   0.79442E+02
     9.598172   0.000000   0.000000   1.000000   0.000000   0.000000   0.81674E+02
     9.651700   0.000000   0.000000   1.000000   0.000000   0.000000   0.83934E+02
     9.705232   0.000000   0.000000   1.000000   0.000000   0.000000   0.86206E+02
     9.758767   0.000000   0.000000   1.000000   0.000000   0.000000   0.88509E+02
     9.812307   0.000000   0.000000   1.000000   0.000000   0.000000   0.90878E+02
     9.865849   0.000000   0.000000   1.000000   0.000000   0.000000   0.93332E+02
     9.919395   0.000000   0.000000   1.000000   0.000000   0.000000   0.95882E+02
     9.972944   0.000000   0.000000   1.000000   0.000000   0.000000   0.98522E+02
    10.026497   0.000000   0.000000   1.000000   0.000000   0.000000   0.10121E+03
    10.080054   0.000000   0.000000   1.000000   0.000000   0.000000   0.10393E+03
    10.133614   0.000000   0.000000   1.000000   0.000000   0.000000   0.10671E+03
    10.187178   0.000000   0.000000   1.000000   0.000000   0.000000   0.10956E+03
    10.240744   0.000000   0.000000   1.000000   0.000000   0.000000   0.11250E+03
    10.294314   0.000000   0.000000   1.000000   0.000000   0.000000   0.11549E+03
    10.347888   0.000000   0.000000   1.000000   0.000000   0.000000   0.11856E+03
    10.401465   0.000000   0.000000   1.000000   0.000000   0.000000   0.12172E+03
    10.455044   0.000000   0.000000   1.000000   0.000000   0.000000   0.12496E+03
    10.508627   0.000000   0.000000   1.000000   0.000000   0.000000   0.12828E+03
    10.562213   0.000000   0.000000   1.000000   0.000000   0.000000   0.13171E+03
    10.615803   0.000000   0.000000   1.000000   0.000000   0.000000   0.13527E+03
    10.669396   0.000000   0.000000   1.000000   0.000000   0.000000   0.13891E+03
    10.722993   0.000000   0.000000   1.000000   0.000000   0.000000   0.14257E+03
    10.776593   0.000000   0.000000   1.000000   0.000000   0.000000   0.14625E+03
    10.830196   0.000000   0.000000   1.000000   0.000000   0.000000   0.15002E+03
    10.883801   0.000000   0.000000   1.000000   0.000000   0.000000   0.15389E+03
    10.937410   0.000000   0.000000   1.000000   0.000000   0.000000   0.15784E+03
    10.991022   0.000000   0.000000   1.000000   0.000000   0.000000   0.16182E+03
    11.044636   0.000000   0.000000   1.000000   0.000000   0.000000   0.16591E+03
    11.098253   0.000000   0.000000   1.000000   0.000000   0.000000   0.17020E+03
    11.151872   0.000000   0.000000   1.000000   0.000000   0.000000   0.17467E+03
    11.205495   0.000000   0.000000   1.000000   0.000000   0.000000   0.17921E+03
    11.259121   0.000000   0.000000   1.000000   0.000000   0.000000   0.18375E+03
    11.312750   0.000000   0.000000   1.000000   0.000000   0.000000   0.18836E+03
    11.366381   0.000000   0.000000   1.000000   0.000000   0.000000   0.19311E+03
    11.420016   0.000000   0.000000   1.000000   0.000000   0.000000   0.19800E+03
    11.473654   0.000000   0.000000   1.000000   0.000000   0.000000   0.20300E+03
    11.527293   0.000000   0.000000   1.000000   0.000000   0.000000   0.20812E+03
    11.580937   0.000000   0.000000   1.000000   0.000000   0.000000   0.21335E+03
    11.634583   0.000000   0.000000   1.000000   0.000000   0.000000   0.21867E+03
    11.688232   0.000000   0.000000   1.000000   0.000000   0.000000   0.22407E+03
    11.741883   0.000000   0.000000   1.000000   0.000000   0.000000   0.22960E+03
    11.795538   0.000000   0.000000   1.000000   0.000000   0.000000   0.23532E+03
    11.849196   0.000000   0.000000   1.000000   0.000000   0.000000   0.24119E+03
    11.902857   0.000000   0.000000   1.000000   0.000000   0.000000   0.24713E+03
    11.956521   0.000000   0.000000   1.000000   0.000000   0.000000   0.25311E+03
    12.010188   0.000000   0.000000   1.000000   0.000000   0.000000   0.25917E+03
    12.063857   0.000000   0.000000   1.000000   0.000000   0.000000   0.26538E+03
    12.117529   0.000000   0.000000   1.000000   0.000000   0.000000   0.27173E+03
    12.171205   0.000000   0.000000   1.000000   0.000000   0.000000   0.27818E+03
    12.224883   0.000000   0.000000   1.000000   0.000000   0.000000   0.28463E+03
    12.278565   0.000000   0.000000   1.000000   0.000000   0.000000   0.29109E+03
    12.332249   0.000000   0.000000   1.000000   0.000000   0.000000   0.29761E+03
